 # photon  number, run number, t, angle_xz, angle_yx, chi_e, chi_gamma, photon energy, recoil ratio
        1    1  0.27879E+00 -0.29101E+01  0.31416E+01  0.27614E+00  0.20707E-01  0.11651E+08  0.92501E+00
        2    1  0.51343E+00 -0.24795E+01  0.31416E+01  0.33618E+00  0.19606E-03  0.92467E+05  0.99942E+00
        3    1  0.59482E+00 -0.23423E+01  0.31416E+01  0.32920E+00  0.51148E-01  0.25947E+08  0.84463E+00
        4    1  0.15828E+01 -0.19804E+01  0.31416E+01  0.18740E+00  0.16903E-02  0.15444E+07  0.99098E+00
        5    1  0.17295E+01 -0.21425E+01  0.31416E+01  0.24336E+00  0.53718E-02  0.33983E+07  0.97793E+00
        6    1  0.20607E+01 -0.28092E+01  0.31416E+01  0.25113E+00  0.20734E-02  0.98474E+06  0.99174E+00
        7    1  0.22702E+01  0.30576E+01  0.00000E+00  0.13689E+00  0.10953E-02  0.92215E+06  0.99200E+00
        8    1  0.27101E+01 -0.30713E+01  0.31416E+01  0.19266E+00  0.45437E-02  0.26950E+07  0.97642E+00
        9    1  0.28958E+01 -0.26417E+01  0.31416E+01  0.25157E+00  0.28142E-03  0.13279E+06  0.99888E+00
       10    1  0.30811E+01 -0.22526E+01  0.31416E+01  0.24205E+00  0.56352E-03  0.31794E+06  0.99767E+00
       11    1  0.32026E+01 -0.20730E+01  0.31416E+01  0.20790E+00  0.90048E-02  0.64941E+07  0.95669E+00
       12    1  0.41081E+01 -0.20212E+01  0.31416E+01  0.18188E+00  0.75497E-02  0.61452E+07  0.95849E+00
       13    1  0.41992E+01 -0.21432E+01  0.31416E+01  0.20061E+00  0.49528E-03  0.32616E+06  0.99753E+00
       14    1  0.42667E+01 -0.22574E+01  0.31416E+01  0.21461E+00  0.61206E-02  0.35463E+07  0.97148E+00
       15    1  0.43637E+01 -0.24656E+01  0.31416E+01  0.21878E+00  0.73621E-02  0.37310E+07  0.96635E+00
       16    1  0.51635E+01  0.30647E+01  0.00000E+00  0.14448E+00  0.25163E-03  0.16634E+06  0.99826E+00
       17    1  0.52575E+01 -0.29938E+01  0.31416E+01  0.17907E+00  0.31010E-01  0.16576E+08  0.82683E+00
       18    1  0.52676E+01 -0.29616E+01  0.31416E+01  0.15044E+00  0.57764E-02  0.30470E+07  0.96160E+00
       19    1  0.53813E+01 -0.25840E+01  0.31416E+01  0.15986E+00  0.17844E-03  0.91413E+05  0.99888E+00
       20    1  0.56964E+01 -0.18919E+01  0.31416E+01  0.12786E+00  0.15249E-02  0.13708E+07  0.98807E+00
       21    1  0.66883E+01 -0.17942E+01  0.31416E+01  0.10633E+00  0.14522E-01  0.16705E+08  0.86343E+00
       22    1  0.68496E+01 -0.20347E+01  0.31416E+01  0.11682E+00  0.17626E-02  0.13448E+07  0.98491E+00
       23    1  0.68912E+01 -0.21241E+01  0.31416E+01  0.11989E+00  0.15980E-02  0.11102E+07  0.98667E+00
       24    1  0.74166E+01  0.25279E+01  0.00000E+00  0.51135E-01  0.59368E-05  0.80085E+04  0.99988E+00
       25    1  0.78890E+01  0.28888E+01  0.00000E+00  0.93915E-01  0.11720E-01  0.79485E+07  0.87520E+00
       26    1  0.80421E+01 -0.27695E+01  0.31416E+01  0.10173E+00  0.66868E-03  0.37334E+06  0.99343E+00
       27    1  0.80845E+01 -0.25950E+01  0.31416E+01  0.10254E+00  0.11878E-04  0.68090E+04  0.99988E+00
       28    1  0.83265E+01 -0.19159E+01  0.31416E+01  0.88078E-01  0.52469E-03  0.48509E+06  0.99404E+00
       29    1  0.84928E+01 -0.16946E+01  0.31416E+01  0.67278E-01  0.30412E-03  0.43588E+06  0.99548E+00
       30    1  0.87274E+01 -0.15442E+01  0.31416E+01  0.34780E-01  0.12805E-03  0.40787E+06  0.99632E+00
       31    1  0.10633E+02  0.28523E+01  0.00000E+00  0.60075E-01  0.27309E-02  0.24940E+07  0.95454E+00
       32    1  0.10789E+02 -0.28923E+01  0.31416E+01  0.78058E-01  0.34517E-03  0.23033E+06  0.99558E+00
       33    1  0.12274E+02 -0.18173E+01  0.31416E+01  0.58722E-01  0.99052E-03  0.13846E+07  0.98313E+00
       34    1  0.13413E+02 -0.31066E+01  0.31416E+01  0.54308E-01  0.81299E-04  0.75167E+05  0.99850E+00
       35    1  0.13957E+02 -0.18737E+01  0.31416E+01  0.44347E-01  0.39146E-02  0.68156E+07  0.91173E+00
       36    1  0.15079E+02 -0.22719E+01  0.31416E+01  0.51831E-01  0.56911E-04  0.61003E+05  0.99890E+00
       37    1  0.16494E+02 -0.20242E+01  0.31416E+01  0.32726E-01  0.21763E-02  0.42222E+07  0.93350E+00
       38    1  0.16725E+02 -0.18502E+01  0.31416E+01  0.13749E-01  0.75019E-05  0.36450E+05  0.99945E+00
       39    1  0.17732E+02 -0.27929E+01  0.31416E+01  0.34380E-01  0.46067E-02  0.58839E+07  0.86600E+00
       40    1  0.20815E+02 -0.29423E+01  0.31416E+01  0.15463E-01  0.73584E-04  0.17728E+06  0.99524E+00
       41    1  0.23678E+02 -0.22810E+01  0.31416E+01  0.91540E-02  0.78879E-04  0.38296E+06  0.99138E+00
       42    1  0.26032E+02 -0.23338E+01  0.31416E+01  0.47183E-02  0.28223E-04  0.25745E+06  0.99402E+00
       43    2  0.28364E+00 -0.29026E+01  0.31416E+01  0.27962E+00  0.33374E-03  0.18561E+06  0.99881E+00
       44    2  0.29698E+00 -0.28817E+01  0.31416E+01  0.28851E+00  0.99706E-02  0.53820E+07  0.96544E+00
